gps_datetime,latitude,longitude,fix_quality,satellite_count
2025-07-13T03:53:11.252876+00:00,-33.067101683333334,151.58072896666667,1,51
2025-07-13T03:53:12.215323+00:00,-33.06710165,151.580729,1,51
2025-07-13T03:53:13.251843+00:00,-33.06710163333333,151.580729,1,51
2025-07-13T03:53:14.203870+00:00,-33.0671016,151.58072898333333,1,50
2025-07-13T03:53:15.243229+00:00,-33.067101566666665,151.58072895,1,50
2025-07-13T03:53:16.195240+00:00,-33.067101533333336,151.58072896666667,1,50
2025-07-13T03:53:17.227784+00:00,-33.067101533333336,151.58072896666667,1,50
2025-07-13T03:53:18.194519+00:00,-33.067101533333336,151.58072898333333,1,50
2025-07-13T03:53:19.318138+00:00,-33.06710151666667,151.580729,1,50
2025-07-13T03:53:20.267878+00:00,-33.067101533333336,151.58072896666667,1,50
2025-07-13T03:53:21.529664+00:00,-33.06710151666667,151.58072895,1,49
2025-07-13T03:53:22.265524+00:00,-33.0671015,151.5807289,1,50
2025-07-13T03:53:23.311720+00:00,-33.06710151666667,151.58072883333332,1,49
2025-07-13T03:53:24.262641+00:00,-33.06710151666667,151.58072878333334,1,49
2025-07-13T03:53:25.311465+00:00,-33.067101566666665,151.58072876666665,1,49
2025-07-13T03:53:26.248121+00:00,-33.06710163333333,151.58072878333334,1,49
2025-07-13T03:53:27.296798+00:00,-33.0671017,151.58072875,1,49
2025-07-13T03:53:28.247177+00:00,-33.06710176666667,151.58072875,1,49
2025-07-13T03:53:29.296941+00:00,-33.06710185,151.58072876666665,1,50
2025-07-13T03:53:30.249232+00:00,-33.06710193333333,151.58072876666665,1,50
2025-07-13T03:53:31.279848+00:00,-33.06710201666667,151.58072871666667,1,49
2025-07-13T03:53:32.242903+00:00,-33.0671021,151.58072868333332,1,49
2025-07-13T03:53:33.287897+00:00,-33.0671022,151.58072865,1,49
2025-07-13T03:53:34.239290+00:00,-33.067102283333334,151.58072865,1,49
2025-07-13T03:53:35.273948+00:00,-33.06710243333333,151.58072866666666,1,49
2025-07-13T03:53:36.233132+00:00,-33.06710256666667,151.5807287,1,49
2025-07-13T03:53:37.292034+00:00,-33.06710268333333,151.58072871666667,1,50
2025-07-13T03:53:38.243077+00:00,-33.06710278333333,151.58072873333333,1,50
2025-07-13T03:53:39.290796+00:00,-33.067102883333334,151.58072878333334,1,50
2025-07-13T03:53:40.241459+00:00,-33.06710296666667,151.58072885,1,50
2025-07-13T03:53:41.276653+00:00,-33.067103016666664,151.58072893333335,1,50
2025-07-13T03:53:42.227618+00:00,-33.067103083333336,151.58072901666668,1,50
